,Wine 1,Wine 2,Wine 3,Wine 4,Wine 5,Wine 6,Wine 7,Wine 8,Wine 9,Wine 10
Wine 1,0.0,27.023,26.032,14.049,9.115,15.011,31.007,6.05,30.007,29.006
Wine 2,27.023,0.0,1.368,13.134,18.034,12.078,4.195,21.028,3.428,2.213
Wine 3,26.032,1.368,0.0,12.117,17.012,11.079,5.235,20.036,4.43,3.273
Wine 4,14.049,13.134,12.117,0.0,5.345,1.189,17.081,8.165,16.056,15.051
Wine 5,9.115,18.034,17.012,5.345,0.0,6.205,22.048,3.163,21.095,20.063
Wine 6,15.011,12.078,11.079,1.189,6.205,0.0,16.044,9.079,15.029,14.016
Wine 7,31.007,4.195,5.235,17.081,22.048,16.044,0.0,25.004,1.275,2.283
Wine 8,6.05,21.028,20.036,8.165,3.163,9.079,25.004,0.0,24.027,23.029
Wine 9,30.007,3.428,4.43,16.056,21.095,15.029,1.275,24.027,0.0,1.448
Wine 10,29.006,2.213,3.273,15.051,20.063,14.016,2.283,23.029,1.448,0.0
