,Wine 1,Wine 2,Wine 3,Wine 4,Wine 5,Wine 6,Wine 7,Wine 8,Wine 9,Wine 10
Wine 1,0.0,28.84,28.14,15.93,11.68,15.9,32.18,7.54,31.01,30.16
Wine 2,28.84,0.0,2.78,16.63,19.8,14.58,5.98,23.0,5.17,3.94
Wine 3,28.14,2.78,0.0,15.09,18.06,13.48,7.96,22.1,7.15,5.38
Wine 4,15.93,16.63,15.09,0.0,8.99,2.09,19.47,10.85,18.66,17.55
Wine 5,11.68,19.8,18.06,8.99,0.0,9.38,24.76,4.9,24.53,23.1
Wine 6,15.9,14.58,13.48,2.09,9.38,0.0,17.94,11.24,16.91,15.46
Wine 7,32.18,5.98,7.96,19.47,24.76,17.94,0.0,25.88,2.71,4.34
Wine 8,7.54,23.0,22.1,10.85,4.9,11.24,25.88,0.0,26.39,25.36
Wine 9,31.01,5.17,7.15,18.66,24.53,16.91,2.71,26.39,0.0,2.71
Wine 10,30.16,3.94,5.38,17.55,23.1,15.46,4.34,25.36,2.71,0.0
