Food_Item,protein,high_protein,iron,high_iron
BEEF BRAISED,20,1,2.6,1
HAMBURGER,21,1,2.7,1
BEEF ROAST,15,0,2.0,0
BEEF STEAK,19,0,2.6,1
BEEF CANNED,22,1,3.7,1
CHICKEN BROILED,20,1,1.4,0
CHICKEN CANNED,25,1,1.5,0
BEEF HEART,26,1,5.9,1
LAMB LEG ROAST,20,1,2.6,1
LAMB SHOULDER ROAST,18,0,2.3,0
SMOKED HAM,20,1,2.5,0
PORK ROAST,19,0,2.5,0
PORK SIMMERED,19,0,2.4,0
BEEF TONGUE,18,0,2.5,0
VEAL CUTLET,23,1,2.7,1
BLUEFISH BAKED,22,1,0.6,0
CLAMS RAW,11,0,6.0,1
CLAMS CANNED,7,0,5.4,1
CRABMEAT CANNED,14,0,0.8,0
HADDOCK FRIED,16,0,0.5,0
MACKEREL BROILED,19,0,1.0,0
MACKEREL CANNED,16,0,1.8,0
PERCH FRIED,16,0,1.3,0
SALMON CANNED,17,0,0.7,0
SARDINES CANNED,22,1,2.5,0
TUNA CANNED,25,1,1.2,0
SHRIMP CANNED,23,1,2.6,1
