Food_Item,energy,energy_group,fat,fat_group
BEEF BRAISED,340,High,28,High
HAMBURGER,245,High,17,High
BEEF ROAST,420,High,39,High
BEEF STEAK,375,High,32,High
BEEF CANNED,180,Medium,10,Medium
CHICKEN BROILED,115,Low,3,Low
CHICKEN CANNED,170,Medium,7,Medium
BEEF HEART,160,Medium,5,Low
LAMB LEG ROAST,265,High,20,High
LAMB SHOULDER ROAST,300,High,25,High
SMOKED HAM,340,High,28,High
PORK ROAST,340,High,29,High
PORK SIMMERED,355,High,30,High
BEEF TONGUE,205,Medium,14,Medium
VEAL CUTLET,185,Medium,9,Medium
BLUEFISH BAKED,135,Low,4,Low
CLAMS RAW,70,Low,1,Low
CLAMS CANNED,45,Low,1,Low
CRABMEAT CANNED,90,Low,2,Low
HADDOCK FRIED,135,Low,5,Low
MACKEREL BROILED,200,Medium,13,Medium
MACKEREL CANNED,155,Low,9,Medium
PERCH FRIED,195,Medium,11,Medium
SALMON CANNED,120,Low,5,Low
SARDINES CANNED,180,Medium,9,Medium
TUNA CANNED,170,Medium,7,Medium
SHRIMP CANNED,110,Low,1,Low
