satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.49,0.36,3,172,8,0,0,0,product_mng,low
0.38,0.57,4,200,3,0,0,0,sales,low
0.53,0.37,5,249,4,0,1,0,management,low
0.24,0.36,6,206,6,1,0,0,support,medium
0.77,0.36,3,301,3,0,1,0,technical,high
0.17,0.62,2,257,4,0,0,0,hr,medium
0.65,0.8,2,135,2,0,0,0,management,low
0.27,0.75,5,142,6,1,0,0,technical,medium
0.31,0.99,5,188,6,0,1,0,finance,low
0.56,0.9,3,249,9,0,0,0,management,medium
0.72,0.38,2,205,8,0,0,0,RandD,medium
0.14,0.42,6,128,5,0,1,0,RandD,medium
0.49,0.52,7,215,4,0,0,0,marketing,medium
0.41,0.51,6,177,8,0,0,0,sales,low
0.19,0.87,3,303,2,0,1,0,sales,medium
0.5,0.57,2,114,4,0,0,0,sales,low
0.2,0.87,5,238,10,0,1,0,RandD,low
0.43,0.79,4,115,4,0,0,0,management,medium
0.27,0.71,2,307,7,0,0,0,management,low
0.32,0.51,5,100,6,0,0,0,support,low
0.35,0.78,7,268,2,0,0,0,hr,low
0.56,0.36,5,304,8,0,0,0,finance,medium
0.21,0.4,2,159,7,1,0,0,product_mng,low
0.45,0.96,2,306,4,0,0,0,marketing,medium
0.3,0.8,3,207,8,1,0,0,hr,medium
0.3,0.45,6,309,6,0,0,0,IT,low
0.49,0.53,3,247,8,0,1,0,RandD,low
0.28,0.8,4,258,2,0,0,0,product_mng,low
0.3,0.72,3,197,10,1,0,0,marketing,medium
0.4,0.94,6,187,7,0,0,0,RandD,medium
0.17,0.65,4,195,9,0,0,0,product_mng,low
0.3,0.77,2,254,2,1,1,0,product_mng,medium
0.44,0.89,6,237,3,0,0,0,technical,low
0.08,0.36,6,262,4,0,0,0,hr,high
0.16,0.94,2,145,2,0,0,0,management,medium
0.31,0.36,4,269,4,0,0,0,IT,medium
0.47,0.83,4,231,2,0,1,0,RandD,medium
0.81,0.61,7,226,2,0,0,0,sales,low
0.27,0.77,2,197,9,0,0,0,RandD,low
0.11,0.65,6,265,3,1,0,0,hr,low
0.11,0.36,2,104,2,0,0,0,hr,medium
0.28,0.36,5,286,6,0,0,0,hr,low
0.73,0.53,4,194,8,0,0,0,product_mng,medium
0.1,0.36,3,159,9,0,0,0,marketing,medium
0.33,0.39,3,234,2,0,0,0,marketing,medium
0.43,0.86,7,230,7,0,0,0,hr,low
0.23,0.36,7,115,10,0,0,0,product_mng,high
0.56,0.36,2,200,7,0,0,0,technical,low
0.61,0.6,6,196,5,0,0,0,support,medium
0.14,0.59,6,178,10,1,1,0,IT,low
0.49,0.83,7,142,4,0,1,0,IT,low
0.46,0.76,5,206,7,0,0,0,management,medium
0.32,0.37,5,235,7,0,0,0,technical,low
0.22,0.85,6,308,6,0,0,0,product_mng,low
0.64,0.38,7,144,10,0,0,0,finance,low
0.15,0.36,7,299,6,0,0,0,RandD,medium
0.26,0.44,5,131,10,0,0,0,marketing,medium
0.48,0.85,6,200,3,0,0,0,product_mng,medium
0.47,0.55,7,173,6,0,1,0,hr,low
0.64,0.66,3,220,4,0,0,0,sales,low
0.21,0.44,4,244,7,0,1,0,product_mng,medium
0.59,0.79,6,242,10,0,0,0,RandD,medium
0.42,0.8,3,277,3,0,0,0,product_mng,medium
0.4,0.82,6,269,6,0,1,0,technical,low
0.35,0.37,7,250,2,0,0,0,finance,medium
0.63,0.67,2,116,4,0,1,0,hr,medium
0.14,0.72,2,277,3,1,0,0,IT,low
